ID,Weight,Length,Width,Height,UOM Code,Fit ratio
3993,434,358,299,78,EA,100
3994,447,359,288,76,EA,100
3995,527,391,281,86,EA,100
3996,265,400,320,40,EA,100
3997,230,400,320,20,EA,100
3998,216,400,320,20,EA,100
3999,257,400,320,20,EA,100
4000,232,400,320,20,EA,100
4001,224,400,320,10,EA,100
4002,210,400,320,20,EA,100
4003,249,400,320,20,EA,100
4004,243,400,320,20,EA,100
3378,15,300,240,3,EA,100
3423,286,300,200,10,EA,100
3424,304,300,200,10,EA,100
3425,316,300,200,10,EA,100
3426,336,300,200,10,EA,100
3427,350,300,200,10,EA,100
3428,383,300,200,10,EA,100
3429,412,300,200,10,EA,100
3430,426,300,200,10,EA,100
3431,104,300,200,10,EA,100
3432,149,300,200,10,EA,100
3433,170,300,200,10,EA,100
3434,181,300,200,10,EA,100
3435,110,300,200,10,EA,100
3436,116,300,200,10,EA,100
3437,125,300,200,10,EA,100
3438,143,300,200,10,EA,100
3439,150,300,200,10,EA,100
3440,151,300,200,10,EA,100
3441,161,300,200,10,EA,100
3442,178,300,200,10,EA,100
3443,95,300,200,10,EA,100
3444,108,300,200,10,EA,100
3445,111,300,200,10,EA,100
3446,129,300,200,10,EA,100
3455,66,65,37,121,EA,100
3456,5,85,55,2,EA,100
3459,259,60,60,160,EA,100
3461,80,110,50,40,EA,100
3462,267,60,60,150,EA,100
3465,1503,315,245,145,EA,100
3466,1513,315,245,145,EA,100
3547,601,62,62,204,EA,100
3639,141,310,240,10,EA,100
3643,112,310,240,10,EA,100
3646,146,310,240,10,EA,100
3775,11,150,150,1,EA,100
3786,308,280,205,30,EA,100
3788,278,280,205,30,EA,100
3910,644,100,100,192,EA,100
3912,565,47,113,243,EA,100
3915,1362,298,210,20,EA,100
3917,1362,298,210,20,EA,100
3919,1362,298,210,20,EA,100
3922,1362,298,210,20,EA,100
3930,9,80,80,10,EA,100
4005,228,400,320,20,EA,100
4006,220,400,320,20,EA,100
4007,263,400,320,10,EA,100
4008,188,400,320,20,EA,100
4009,169,400,320,20,EA,100
4010,148,400,320,10,EA,100
4011,191,400,320,10,EA,100
4012,185,400,320,20,EA,100
4013,172,400,320,20,EA,100
4014,158,400,320,10,EA,100
4015,205,400,320,20,EA,100
4016,177,400,320,10,EA,100
4017,163,400,320,10,EA,100
4018,144,400,320,10,EA,100
4019,190,400,320,20,EA,100
4020,312,400,320,10,EA,100
4021,289,400,320,20,EA,100
4022,275,400,320,10,EA,100
4023,330,400,320,20,EA,100
4024,312,400,320,10,EA,100
4025,286,400,320,20,EA,100
4026,272,400,320,10,EA,100
4027,330,400,320,10,EA,100
4028,303,400,320,20,EA,100
4029,280,400,320,20,EA,100
4030,262,400,320,20,EA,100
4031,318,420,320,20,EA,100
4032,201,400,320,20,EA,100
4033,194,400,320,20,EA,100
4034,177,400,320,20,EA,100
4035,222,400,320,20,EA,100
4036,203,400,320,20,EA,100
4037,191,400,320,20,EA,100
4038,175,400,320,20,EA,100
4039,221,400,320,20,EA,100
4040,207,400,320,20,EA,100
4041,198,400,320,20,EA,100
3554,137,260,230,10,EA,100
3362,8,210,99,1,EA,100
3596,11,65,55,6,EA,100
3415,19,210,140,1,EA,100
3416,21,210,140,1,EA,100
3469,10,210,100,1,EA,100
3470,10,210,100,1,EA,100
3530,186,60,60,106,EA,100
3531,132,50,50,90,EA,100
3549,1099,420,340,70,EA,100
3597,11,65,55,6,EA,100
3628,601,64,64,198,EA,100
3636,310,50,50,160,EA,100
3642,172,310,240,10,EA,100
3644,119,310,240,10,EA,100
3764,696,340,190,30,EA,100
3765,694,340,190,30,EA,100
3766,690,340,190,30,EA,100
3767,695,340,190,30,EA,100
3768,694,340,190,30,EA,100
3783,642,100,100,191,EA,100
3784,642,100,100,191,EA,100
3785,642,100,100,191,EA,100
3790,520,300,220,11,EA,100
3792,514,171,233,91,EA,100
3793,549,370,320,30,EA,100
3797,436,154,233,99,EA,100
3798,460,176,261,86,EA,100
3801,10,210,300,1,EA,100
3811,25,125,125,1,EA,100
3813,24,125,125,1,EA,100
3814,25,125,125,1,EA,100
3817,25,125,125,1,EA,100
3820,25,125,125,1,EA,100
3821,7,20,17,8,EA,100
3918,1362,298,210,20,EA,100
3920,1362,298,210,20,EA,100
3923,1362,298,210,20,EA,100
3932,633,100,100,192,EA,100
3933,640,100,100,192,EA,100
4042,181,400,320,20,EA,100
4043,225,400,320,20,EA,100
4044,213,400,320,20,EA,100
4045,195,400,320,20,EA,100
4046,181,400,320,20,EA,100
4047,228,400,320,20,EA,100
4048,335,400,320,20,EA,100
4049,299,400,320,20,EA,100
4050,267,400,320,20,EA,100
4051,355,400,320,20,EA,100
4052,309,400,320,20,EA,100
4053,289,333,228,111,EA,100
4054,275,400,320,20,EA,100
4055,331,400,320,20,EA,100
4056,200,400,320,10,EA,100
4057,188,400,320,20,EA,100
4058,170,400,320,20,EA,100
4059,226,400,320,20,EA,100
4060,192,400,320,20,EA,100
4061,193,400,320,10,EA,100
4062,166,400,320,10,EA,100
4063,288,400,320,20,EA,100
4064,196,400,320,20,EA,100
4065,179,400,320,10,EA,100
4066,162,400,320,10,EA,100
4067,227,400,320,20,EA,100
4068,142,400,320,10,EA,100
4069,129,400,320,10,EA,100
4070,121,400,320,10,EA,100
4071,158,400,320,10,EA,100
4072,146,400,320,10,EA,100
4073,132,400,320,10,EA,100
4074,119,400,320,10,EA,100
4075,159,400,320,20,EA,100
4076,140,400,320,20,EA,100
4077,132,400,320,10,EA,100
4078,119,400,320,10,EA,100
4079,154,400,320,10,EA,100
4080,240,400,320,10,EA,100
4081,223,400,320,10,EA,100
4082,211,400,320,10,EA,100
4083,267,400,320,10,EA,100
4084,245,400,320,20,EA,100
4085,233,400,320,20,EA,100
4086,213,400,320,10,EA,100
4087,267,183,271,40,EA,100
3354,93,212,162,20,EA,100
3355,45,210,150,3,EA,100
3364,8,210,99,1,EA,100
3367,465,295,211,5,EA,100
3370,537,62,62,204,EA,100
3386,8,210,99,1,EA,100
3484,11,55,55,6,EA,100
3487,11,55,55,6,EA,100
3489,11,55,55,6,EA,100
3491,11,55,55,6,EA,100
3555,200,365,80,60,EA,100
3558,274,300,200,10,EA,100
3559,274,300,200,10,EA,100
3561,274,300,200,10,EA,100
3564,274,300,200,10,EA,100
3567,274,300,200,10,EA,100
3569,274,300,200,10,EA,100
3571,2620,315,245,145,EA,100
3592,90,72,72,223,EA,100
3593,20,210,140,1,EA,100
3604,145,53,90,119,EA,100
3607,668,120,120,170,EA,100
3777,318,155,105,90,EA,100
3799,536,60,60,200,EA,100
3802,22,90,60,20,EA,100
3805,75,125,120,20,EA,100
3806,66,65,37,121,EA,100
3916,1362,298,210,20,EA,100
3921,1362,298,210,20,EA,100
3924,1362,300,210,20,EA,100
3925,1362,298,210,20,EA,100
4088,241,400,320,10,EA,100
4089,215,400,320,10,EA,100
4090,208,400,320,10,EA,100
4091,266,183,271,40,EA,100
4092,340,400,320,30,EA,100
4093,306,400,320,20,EA,100
4094,275,400,320,20,EA,100
4095,378,400,320,30,EA,100
4096,334,190,141,76,EA,100
4097,310,400,320,30,EA,100
4098,255,400,320,20,EA,100
4099,349,400,320,20,EA,100
4100,343,400,320,20,EA,100
4101,302,400,320,20,EA,100
4102,275,400,320,30,EA,100
4103,364,400,320,30,EA,100
4104,348,400,320,20,EA,100
4105,310,400,320,20,EA,100
4106,275,400,320,20,EA,100
4107,384,400,320,30,EA,100
4108,137,400,320,10,EA,100
4109,124,400,320,10,EA,100
4110,115,400,320,10,EA,100
4111,147,400,320,10,EA,100
4112,133,400,320,10,EA,100
4113,122,400,320,10,EA,100
